//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-15-2025
//--  Time: 20:38
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 4700 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 44864 Ohms 
//--    Temperature2: 0.0(C), 	Resistance 2: 5784 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 186.6 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
729	5.26	53 	3.560
730	5.08	51 	3.564
731	4.91	49 	3.569
732	4.73	47 	3.574
733	4.56	46 	3.579
734	4.38	44 	3.584
735	4.21	42 	3.589
736	4.03	40 	3.594
737	3.86	39 	3.599
738	3.68	37 	3.604
739	3.50	35 	3.608
740	3.33	33 	3.613
741	3.15	31 	3.618
742	2.97	30 	3.623
743	2.79	28 	3.628
744	2.62	26 	3.633
745	2.44	24 	3.638
746	2.26	23 	3.643
747	2.08	21 	3.647
748	1.90	19 	3.652
749	1.72	17 	3.657
750	1.54	15 	3.662
751	1.36	14 	3.667
752	1.18	12 	3.672
753	1.00	10 	3.677
754	0.82	8 	3.682
755	0.64	6 	3.687
756	0.46	5 	3.691
757	0.28	3 	3.696
758	0.10	1 	3.701
759	-0.09	-1 	3.706
760	-0.27	-3 	3.711
761	-0.45	-5 	3.716
762	-0.64	-6 	3.721
763	-0.82	-8 	3.726
764	-1.00	-10 	3.730
765	-1.19	-12 	3.735
766	-1.37	-14 	3.740
767	-1.56	-16 	3.745
768	-1.75	-17 	3.750
769	-1.93	-19 	3.755
770	-2.12	-21 	3.760
771	-2.30	-23 	3.765
772	-2.49	-25 	3.770
773	-2.68	-27 	3.774
774	-2.87	-29 	3.779
775	-3.05	-31 	3.784
776	-3.24	-32 	3.789
777	-3.43	-34 	3.794
778	-3.62	-36 	3.799
779	-3.81	-38 	3.804
780	-4.00	-40 	3.809
781	-4.19	-42 	3.813
782	-4.38	-44 	3.818
